# Blockpost room-protocol capture, started 2026-08-23 14:18:40
# tx: <ms> tx hdr=0xNN op=0xNN <name> : <fields>    rx: <ms> rx len=N <hex>
74502,8 fw player          ACAIGMNLLEC               0 -> 255
74502,8 fw player          HEADELMLILF               0 -> 1
74502,8 fw Controll.static NAKNALFCOIF           -0.45 -> -0.3
74502,8 fw Controll.static IGLCENGMMMJ         13.7768 -> 14.0768
74509,2 fw Controll.static MKFDGFOCKNO         74.1867 -> 74.2367
74509,2 fw Controll.static LEKCBKLAILO         74.2367 -> 74.2867
74509,2 fw Controll.static OFJKHAFJIMA          0.0047 -> 0.0053
74518,4 fw Controll.static GIPNIMALPEG          0.7391 -> 0.2937
74526,0 fw Controll.static NAKNALFCOIF            -0.3 -> 0.45
74526,0 fw Controll.static IGLCENGMMMJ         14.0768 -> 14.5268
74541,9 fw Controll.static GIPNIMALPEG          0.2937 -> 0.7639
74551,0 fw player          LNIDBHIAJJI               7 -> 8
74551,0 fw player          HEADELMLILF               1 -> 0
74551,0 fw Controll.static NAKNALFCOIF            0.45 -> 1.5
74551,1 fw Controll.static IGLCENGMMMJ         14.5268 -> 15.2768
74558,3 fw Controll.static MKFDGFOCKNO         74.2367 -> 74.2867
74558,3 fw Controll.static LEKCBKLAILO         74.2867 -> 74.3367
74558,3 fw Controll.static OFJKHAFJIMA          0.0053 -> 0.0044
74566,9 fw Controll.static GIPNIMALPEG          0.7639 -> 0.2639
74574,5 fw Controll.static NAKNALFCOIF             1.5 -> 2.1
74574,5 fw Controll.static IGLCENGMMMJ         15.2768 -> 16.1768
74574,5 fw Controll.static EPEEFBDJAHO               1 -> 0
74599,6 fw Controll.static GIPNIMALPEG          0.2639 -> 0.9168
74599,6 fw Controll.static NAKNALFCOIF             2.1 -> 2.4
74599,6 fw Controll.static IGLCENGMMMJ         16.1768 -> 17.0768
74606,2 fw Controll.static MKFDGFOCKNO         74.2867 -> 74.3368
74606,2 fw Controll.static LEKCBKLAILO         74.3367 -> 74.3868
74617,7 fw Controll.static OFJKHAFJIMA          0.0044 -> 0.0023
74622,4 fw Controll.static GIPNIMALPEG          0.9168 -> 0.3733
74622,4 fw Controll.static NAKNALFCOIF             2.4 -> 2.85
74622,5 fw Controll.static IGLCENGMMMJ         17.0768 -> 17.9768
74651,6 fw Controll.static GIPNIMALPEG          0.3733 -> 0.9568
74651,6 fw Controll.static IGLCENGMMMJ         17.9768 -> 18.1268
74657,0 fw player          LNIDBHIAJJI               8 -> 9
74657,0 fw player          ACAIGMNLLEC             255 -> 0
74657,0 fw player          HEADELMLILF               0 -> 1
74668,0 fw Controll.static MKFDGFOCKNO         74.3368 -> 74.3868
74668,0 fw Controll.static LEKCBKLAILO         74.3868 -> 74.4368
74668,0 fw Controll.static OFJKHAFJIMA          0.0023 -> 0.003
74674,1 fw Controll.static GIPNIMALPEG          0.9568 -> 0.4067
74674,1 fw Controll.static IGLCENGMMMJ         18.1268 -> 18.2768
74683,8 fw Controll.static DGNDKAKOEPD         1423590 -> 1424574
74683,8 fw Controll.static BEJBLGGGOCC       339003827 -> 339004819
74683,8 fw Controll.static JELGPAKAJPE             127 -> 110
74683,8 fw Controll.static EENJPDHGGGC         73.4181 -> 74.4013
74699,2 fw Controll.static GIPNIMALPEG          0.4067 -> 0.9083
74699,2 fw Controll.static IGLCENGMMMJ         18.2768 -> 18.4268
74716,2 fw Controll.static MKFDGFOCKNO         74.3868 -> 74.4368
74716,2 fw Controll.static LEKCBKLAILO         74.4368 -> 74.4868
74716,2 fw Controll.static OFJKHAFJIMA           0.003 -> 0.0046
74725,1 fw Controll.static GIPNIMALPEG          0.9083 -> 0.4244
74742,3 fw player          HOJIIOCKKLO              -1 -> 1
74749,2 fw Controll.static GIPNIMALPEG          0.4244 -> 0.9084
74766,6 fw Controll.static MKFDGFOCKNO         74.4368 -> 74.4868
74766,6 fw Controll.static LEKCBKLAILO         74.4868 -> 74.5368
74766,6 fw Controll.static OFJKHAFJIMA          0.0046 -> 0.0036
74772,4 fw Controll.static GIPNIMALPEG          0.9084 -> 0.3713
74799,1 fw Controll.static GIPNIMALPEG          0.3713 -> 0.9062
74806,7 fw Controll.static DJACNOGOCKD               0 -> 1
74814,9 fw Controll.static MKFDGFOCKNO         74.4868 -> 74.5368
74814,9 fw Controll.static LEKCBKLAILO         74.5368 -> 74.5868
74814,9 fw Controll.static OFJKHAFJIMA          0.0036 -> 0.0028
74821,9 fw Controll.static FBINCNDDPAO         63.2356 -> 69.5252
74821,9 fw Controll.static ILGHFLMKMCO         64.4688 -> 71.5252
74821,9 fw Controll.static JADIDAJFOGK            0.29 -> 0.26
74821,9 fw Controll.static GIPNIMALPEG          0.9062 -> 0.3617
74848,1 fw Controll.static GIPNIMALPEG          0.3617 -> 0.8865
74865,0 fw Controll.static MKFDGFOCKNO         74.5368 -> 74.5868
74865,0 fw Controll.static LEKCBKLAILO         74.5868 -> 74.6368
74865,0 fw Controll.static OFJKHAFJIMA          0.0028 -> 0.011
74869,9 fw Controll.static GIPNIMALPEG          0.8865 -> 0.3213
74905,5 fw Controll.static GIPNIMALPEG          0.3213 -> 0.0329
74905,5 fw Controll.static LCMOBPPHLLM           0.485 -> 0
74905,5 fw Controll.static IGLCENGMMMJ         18.4268 -> 18.5768
74914,3 fw player          HIDMDLLHEKO               1 -> 0
74914,3 fw Controll.static MKFDGFOCKNO         74.5868 -> 74.6368
74914,3 fw Controll.static LEKCBKLAILO         74.6368 -> 74.6868
74920,7 fw player          LNIDBHIAJJI               9 -> 12
74920,7 fw player          ACAIGMNLLEC               0 -> 1
74920,7 fw player          HEADELMLILF               1 -> 0
74920,8 fw Controll.static OFJKHAFJIMA           0.011 -> 0.0015
74930,9 fw Controll.static GIPNIMALPEG          0.0329 -> 0.5418
74952,5 fw Controll.static GIPNIMALPEG          0.5418 -> 0.9725
74968,7 fw player          LNIDBHIAJJI              12 -> 13
74968,7 fw player          ACAIGMNLLEC               1 -> 2
74968,7 fw player          HEADELMLILF               0 -> 1
74968,7 fw Controll.static MKFDGFOCKNO         74.6368 -> 74.6868
74968,7 fw Controll.static LEKCBKLAILO         74.6868 -> 74.7368
74968,7 fw Controll.static OFJKHAFJIMA          0.0015 -> 0.0105
74982,0 fw Controll.static GIPNIMALPEG          0.9725 -> 0.563
74998,4 fw player          HEADELMLILF               1 -> 0
75004,5 fw Controll.static GIPNIMALPEG           0.563 -> 0.0125
75004,5 fw Controll.static IGLCENGMMMJ         18.5768 -> 18.8768
75019,6 fw Controll.static MKFDGFOCKNO         74.6868 -> 74.7368
75019,6 fw Controll.static LEKCBKLAILO         74.7368 -> 74.7868
75019,6 fw Controll.static OFJKHAFJIMA          0.0105 -> 0.0005
75030,8 fw Controll.static GIPNIMALPEG          0.0125 -> 0.539
75051,6 fw Controll.static GIPNIMALPEG           0.539 -> 0.9559
75064,2 fw player          CLOEJLAOIGI               1 -> 0
75068,2 fw Controll.static MKFDGFOCKNO         74.7368 -> 74.7869
75068,2 fw Controll.static LEKCBKLAILO         74.7868 -> 74.8369
75068,2 fw Controll.static OFJKHAFJIMA          0.0005 -> 0.0101
75081,6 fw Controll.static GIPNIMALPEG          0.9559 -> 0.5547
75086,1 fw Controll.static NAKNALFCOIF            2.85 -> 3
75086,1 fw Controll.static IGLCENGMMMJ         18.8768 -> 19.0268
75103,1 fw Controll.static GIPNIMALPEG          0.5547 -> 0.9854
75114,9 fw Controll.static NAKNALFCOIF               3 -> 3.3
75118,8 fw Controll.static MKFDGFOCKNO         74.7869 -> 74.8369
75118,8 fw Controll.static LEKCBKLAILO         74.8369 -> 74.8869
75118,8 fw Controll.static OFJKHAFJIMA          0.0101 -> 0.0108
75131,4 fw Controll.static GIPNIMALPEG          0.9854 -> 0.5497
75136,4 fw Controll.static NAKNALFCOIF             3.3 -> 3.9
