# Blockpost room-protocol capture, started 2026-08-23 14:26:01
# tx: <ms> tx hdr=0xNN op=0xNN <name> : <fields>    rx: <ms> rx len=N <hex>
15077,6 ==== FIELDWATCH ON ====
15086,0 # net: TcpClient.Connected = True
15108,7 #   player.GPBAJMJILMA len=2 [0, 0]
16351,2 fw Controll.static GIPNIMALPEG          0.4912 -> 0.9766
16369,8 fw Controll.static MKFDGFOCKNO         16.0338 -> 16.0839
16369,8 fw Controll.static LEKCBKLAILO         16.0838 -> 16.1339
16369,8 fw Controll.static OFJKHAFJIMA          0.0048 -> 0.0114
16381,2 fw Controll.static GIPNIMALPEG          0.9766 -> 0.5785
16390,2 fw player          HEADELMLILF               1 -> 0
16390,3 fw Controll.static NAKNALFCOIF           91.05 -> 90.9
16390,3 fw Controll.static IGLCENGMMMJ            22.8 -> 23.25
16418,6 fw Controll.static GIPNIMALPEG          0.5785 -> 0.3265
16418,6 fw Controll.static LCMOBPPHLLM               0 -> 0.485
16418,7 fw Controll.static IGLCENGMMMJ           23.25 -> 23.55
16418,7 fw Controll.static EPEEFBDJAHO               0 -> 1
16425,2 fw Controll.static GLGCAOADGMN               1 -> 0
16425,2 fw Controll.static MKFDGFOCKNO         16.0839 -> 16.1339
16425,2 fw Controll.static LEKCBKLAILO         16.1339 -> 16.1839
16436,4 fw Controll.static OFJKHAFJIMA          0.0114 -> 0.0067
16442,1 fw player          LNIDBHIAJJI              15 -> 16
16442,2 fw Controll.static GIPNIMALPEG          0.3265 -> 0.7969
16458,5 fw Controll.static MKFDGFOCKNO         16.1339 -> 16.1839
16458,5 fw Controll.static LEKCBKLAILO         16.1839 -> 16.2339
16458,5 fw Controll.static OFJKHAFJIMA          0.0067 -> 0.0012
16472,0 fw player          FGFKPMPLNKO               0 -> 12.2629
16472,0 fw Controll.static GIPNIMALPEG          0.7969 -> 0.3928
16495,8 fw Controll.static GIPNIMALPEG          0.3928 -> 0.8692
16511,4 fw Controll.static MKFDGFOCKNO         16.1839 -> 16.2339
16511,4 fw Controll.static LEKCBKLAILO         16.2339 -> 16.2839
16511,4 fw Controll.static OFJKHAFJIMA          0.0012 -> 0.004
16524,1 fw Controll.static GIPNIMALPEG          0.8692 -> 0.4355
16524,1 fw Controll.static IGLCENGMMMJ           23.55 -> 23.7
16529,5 fw Controll.static BFEOOOMMGLK               0 -> 1
16529,5 fw Controll.static GLGCAOADGMN               0 -> 1
16529,5 fw Controll        MJPKOOHJOPA         11.9632 -> 12.1681
16546,8 fw Controll.static MNHBPCOOMLE         1807492 -> 1807694
16546,8 fw Controll.static GIPNIMALPEG          0.4355 -> 0.888
16559,3 fw player          LNIDBHIAJJI              16 -> 15
16559,3 fw Controll.static IGLCENGMMMJ            23.7 -> 23.85
16559,3 fw Controll.static BFEOOOMMGLK               1 -> 0
16559,3 fw Controll.static GLGCAOADGMN               1 -> 0
16564,2 fw Controll.static MKFDGFOCKNO         16.2339 -> 16.2839
16564,2 fw Controll.static LEKCBKLAILO         16.2839 -> 16.3339
16564,2 fw Controll.static OFJKHAFJIMA           0.004 -> 0.0068
16577,8 fw Controll.static GIPNIMALPEG           0.888 -> 0.5096
16596,3 fw player          HIDMDLLHEKO               0 -> 1
16596,3 fw player          LNIDBHIAJJI              15 -> 16
16596,3 fw player          CLOEJLAOIGI               0 -> 1
16604,4 fw Controll.static GIPNIMALPEG          0.5096 -> 0.0412
16621,7 fw Controll.static MKFDGFOCKNO         16.2839 -> 16.3339
16621,7 fw Controll.static LEKCBKLAILO         16.3339 -> 16.3839
16621,7 fw Controll.static OFJKHAFJIMA          0.0068 -> 0.0018
16627,2 fw Controll.static GIPNIMALPEG          0.0412 -> 0.4957
16654,5 fw Controll.static GIPNIMALPEG          0.4957 -> 0.0417
16659,9 fw Controll.static NAKNALFCOIF            90.9 -> 90.6
16659,9 fw Controll.static IGLCENGMMMJ           23.85 -> 24.15
16671,4 fw Controll.static MKFDGFOCKNO         16.3339 -> 16.3839
16671,4 fw Controll.static LEKCBKLAILO         16.3839 -> 16.4339
16671,4 fw Controll.static OFJKHAFJIMA          0.0018 -> 0.0019
16677,2 fw Controll.static GIPNIMALPEG          0.0417 -> 0.4963
16689,9 fw Controll.static IGLCENGMMMJ           24.15 -> 24.3
16707,9 fw Controll.static GIPNIMALPEG          0.4963 -> 0.1094
16725,9 fw Controll.static MKFDGFOCKNO         16.3839 -> 16.4339
16725,9 fw Controll.static LEKCBKLAILO         16.4339 -> 16.4839
16725,9 fw Controll.static OFJKHAFJIMA          0.0019 -> 0.0052
16743,7 fw Controll.static GIPNIMALPEG          0.1094 -> 0.826
16760,2 fw Controll.static OFJKHAFJIMA          0.0052 -> 0.0077
16768,0 fw Controll.static GIPNIMALPEG           0.826 -> 0.3125
16775,8 fw Controll.static DJACNOGOCKD               0 -> 1
16786,0 fw Controll.static MKFDGFOCKNO         16.4339 -> 16.4839
16786,0 fw Controll.static LEKCBKLAILO         16.4839 -> 16.5339
16786,0 fw Controll.static FBINCNDDPAO               0 -> 12.1047
16786,0 fw Controll.static ILGHFLMKMCO               0 -> 14.1047
16786,0 fw Controll.static JADIDAJFOGK               0 -> 0.42
16790,7 fw Controll.static GIPNIMALPEG          0.3125 -> 0.7657
16808,2 fw player          HOJIIOCKKLO               1 -> -1
16808,2 fw Controll.static MKFDGFOCKNO         16.4839 -> 16.534
16808,2 fw Controll.static LEKCBKLAILO         16.5339 -> 16.584
16808,2 fw Controll.static OFJKHAFJIMA          0.0077 -> 0.0008
16820,0 fw Controll.static GIPNIMALPEG          0.7657 -> 0.3534
16839,7 fw Controll.static GIPNIMALPEG          0.3534 -> 0.7458
16855,7 fw Controll.static MKFDGFOCKNO          16.534 -> 16.584
16855,7 fw Controll.static LEKCBKLAILO          16.584 -> 16.634
16855,7 fw Controll.static OFJKHAFJIMA          0.0008 -> 0.003
16868,4 fw Controll.static GIPNIMALPEG          0.7458 -> 0.3193
16872,5 fw Controll.static EPEEFBDJAHO               1 -> 0
16891,8 fw Controll.static GIPNIMALPEG          0.3193 -> 0.7878
16908,2 fw Controll.static MKFDGFOCKNO          16.584 -> 16.634
16908,2 fw Controll.static LEKCBKLAILO          16.634 -> 16.684
16908,2 fw Controll.static OFJKHAFJIMA           0.003 -> 0.0009
16919,4 fw Controll.static GIPNIMALPEG          0.7878 -> 0.3384
16939,7 fw Controll.static GIPNIMALPEG          0.3384 -> 0.7454
16955,9 fw Controll.static MKFDGFOCKNO          16.634 -> 16.684
16955,9 fw Controll.static LEKCBKLAILO          16.684 -> 16.734
16955,9 fw Controll.static OFJKHAFJIMA          0.0009 -> 0.0032
16969,1 fw Controll.static GIPNIMALPEG          0.7454 -> 0.3317
16989,4 fw player          LNIDBHIAJJI              16 -> 17
16989,5 fw Controll.static GIPNIMALPEG          0.3317 -> 0.7397
17006,5 fw Controll.static MKFDGFOCKNO          16.684 -> 16.734
17006,5 fw Controll.static LEKCBKLAILO          16.734 -> 16.784
17006,5 fw Controll.static OFJKHAFJIMA          0.0032 -> 0.0037
17018,1 fw Controll.static GIPNIMALPEG          0.7397 -> 0.311
17023,8 fw player          HIDMDLLHEKO               1 -> 0
17051,4 fw Controll.static GIPNIMALPEG           0.311 -> 0.9789
17055,7 fw Controll.static MKFDGFOCKNO          16.734 -> 16.784
17055,7 fw Controll.static LEKCBKLAILO          16.784 -> 16.834
17068,2 fw Controll.static OFJKHAFJIMA          0.0037 -> 0.003
17072,0 fw Controll.static GIPNIMALPEG          0.9789 -> 0.3903
17100,3 fw Controll.static GIPNIMALPEG          0.3903 -> 0.9576
17114,0 fw Controll.static MKFDGFOCKNO          16.784 -> 16.834
17114,0 fw Controll.static LEKCBKLAILO          16.834 -> 16.884
17114,0 fw Controll.static OFJKHAFJIMA           0.003 -> 0.0019
17119,7 fw Controll.static GIPNIMALPEG          0.9576 -> 0.3451
17142,9 fw Controll.static GIPNIMALPEG          0.3451 -> 0.808
17157,2 fw Controll.static MKFDGFOCKNO          16.834 -> 16.884
17157,2 fw Controll.static LEKCBKLAILO          16.884 -> 16.934
17157,2 fw Controll.static OFJKHAFJIMA          0.0019 -> 0.0045
17165,3 fw Controll.static GIPNIMALPEG           0.808 -> 0.2548
17187,0 fw Controll.static GIPNIMALPEG          0.2548 -> 0.6912
17210,4 fw Controll.static GIPNIMALPEG          0.6912 -> 0.1567
17210,4 fw Controll.static LCMOBPPHLLM           0.485 -> 0
17225,2 fw Controll.static MKFDGFOCKNO          16.884 -> 16.934
17225,2 fw Controll.static LEKCBKLAILO          16.934 -> 16.984
17225,2 fw Controll.static OFJKHAFJIMA          0.0045 -> 0.0076
17229,8 fw Controll.static GIPNIMALPEG          0.1567 -> 0.5459
17253,6 fw Controll.static GIPNIMALPEG          0.5459 -> 0.0221
17268,2 fw Controll.static MKFDGFOCKNO          16.934 -> 16.984
17268,2 fw Controll.static LEKCBKLAILO          16.984 -> 17.034
17268,2 fw Controll.static OFJKHAFJIMA          0.0076 -> 0.0009
17272,2 fw Controll.static GIPNIMALPEG          0.0221 -> 0.3951
17300,5 fw Controll.static GIPNIMALPEG          0.3951 -> 0.9588
17317,0 fw Controll.static MKFDGFOCKNO          16.984 -> 17.034
17317,0 fw Controll.static LEKCBKLAILO          17.034 -> 17.084
17317,0 fw Controll.static OFJKHAFJIMA          0.0009 -> 0.0036
17333,5 fw Controll.static GIPNIMALPEG          0.9588 -> 0.6206
17333,5 fw Controll.static DGNDKAKOEPD         1807257 -> 1808283
17333,5 fw Controll.static BEJBLGGGOCC       339387446 -> 339388452
17333,5 fw Controll.static JELGPAKAJPE             138 -> 160
17333,5 fw Controll.static EENJPDHGGGC         16.0225 -> 17.0488
17354,0 fw Controll.static GIPNIMALPEG          0.6206 -> 0.0296
17371,0 fw Controll.static MKFDGFOCKNO          17.034 -> 17.0841
17371,0 fw Controll.static LEKCBKLAILO          17.084 -> 17.1341
17371,0 fw Controll.static OFJKHAFJIMA          0.0036 -> 0.0013
17383,4 fw Controll.static GIPNIMALPEG          0.0296 -> 0.6168
17404,0 fw Controll.static GIPNIMALPEG          0.6168 -> 0.0289
17420,1 fw Controll.static MKFDGFOCKNO         17.0841 -> 17.1341
17420,1 fw Controll.static LEKCBKLAILO         17.1341 -> 17.1841
17428,9 fw Controll.static GIPNIMALPEG          0.0289 -> 0.5288
17434,4 fw player          CLOEJLAOIGI               1 -> 0
17449,8 fw Controll.static GIPNIMALPEG          0.5288 -> 0.9469
17457,9 fw Controll.static IGLCENGMMMJ            24.3 -> 24.15
17467,1 fw Controll.static MKFDGFOCKNO         17.1341 -> 17.1841
17467,1 fw Controll.static LEKCBKLAILO         17.1841 -> 17.2341
17467,1 fw Controll.static OFJKHAFJIMA          0.0013 -> 0.0052
