# Blockpost room-protocol capture, started 2026-08-23 02:50:26
# tx: <ms> tx hdr=0xNN op=0xNN <name> : <fields>    rx: <ms> rx len=N <hex>

13225,4 ==== CAPTURE ON ====
13230,2 # net: TcpClient.Connected = True
16175,7 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 27,133 1 81,484 4,05 199,5 b1 i297652599
16226,6 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 26,93 1 80,991 4,05 194,55 b1 i297652650
16283,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 26,628 1 80,578 4,05 192 b5 i297652757
16334,1 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 26,268 1 80,208 4,05 190,65 b5 i297652808
16377,3 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 25,875 1 79,863 4,05 190,35 b5 i297652852
16433,9 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 25,601 1 79,443 4,05 189,9 b1 i297652908
16483,9 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 25,406 1 78,978 4,05 188,25 b1 i297652958
16525,7 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 25,264 1 78,484 3,6 186,6 b1 i297653000
16570,6 tx hdr=0xF5 op=0x0F slot/15 : b2
16579,1 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 25,165 1 77,962 3 183,45 b1 i297653053
16631,6 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 25,11 1 77,43 1,95 178,5 b1 i297653106
16674,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 25,086 1 76,89 1,8 177,75 b1 i297653148
16724,2 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 25,082 1 76,347 1,8 177,45 b1 i297653198
17233,9 tx hdr=0xF5 op=0x42 req/66 :
18059,5 tx hdr=0xF5 op=0x42 req/66 :
18224,0 # net: TcpClient.Connected = True
18734,0 tx hdr=0xF5 op=0x0F slot/15 : b0
18748,7 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 39,997 1 72,896 1,8 0 b1 i297655223
18806,2 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 39,996 1 73,049 1,8 0 b1 i297655281
18849,1 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 40,495 0 73,716 1,95 358,8 b17 i297655323
18912,2 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 40,5 0 73,5 1,95 354,6 b17 i297655387
18955,5 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 40,5 0 73,5 1,95 354,3 b1 i297655430
19001,1 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 40,479 0 73,715 1,95 354,3 b17 i297655475
